user_id,edition_id,chapter_id,percent,event_class,event_obj_id,event_type,event_info,device,version,timezone,country,edition_language,offline,created_at,updated_at
2142351,2895401,,,Edition,2895401,more,,"Mozilla/5.0 (Linux; Android 5.1.1; KFSUWI) AppleWebKit/537.36 (KHTML, like Gecko) Silk/78.4.6 like Chrome/78.0.3904.108 Safari/537.36",web,0,,en,0,2019-12-10T13:28:12.680Z,2019-12-10T13:28:15.968Z
2142351,2895401,,,Edition,2895401,read,,"Mozilla/5.0 (Linux; Android 5.1.1; KFSUWI) AppleWebKit/537.36 (KHTML, like Gecko) Silk/78.4.6 like Chrome/78.0.3904.108 Safari/537.36",web,0,,en,0,2019-12-10T13:28:14.375Z,2019-12-10T13:28:16.040Z
2142422,2895398,,,Edition,2895398,more,,Dart/2.5 (dart:io),web,0,,en,0,2019-12-10T13:28:17.041Z,2019-12-10T13:28:21.033Z
2142502,2895400,,,Edition,2895400,view,"{""position"":""1"",""screen_width"":""360"",""list_type"":""grid""}","Mozilla/5.0 (Linux; Android 9; SM-A600FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36",web,0,,en,0,2019-12-10T13:28:23.909Z,2019-12-10T13:28:26.159Z
2142505,2895390,,,Edition,2895390,view,"{""position"":""1"",""screen_width"":""375"",""list_type"":""grid""}","Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1",web,0,,en,0,2019-12-10T13:28:25.450Z,2019-12-10T13:28:26.217Z
2142502,2895400,,,Edition,2895400,more,,"Mozilla/5.0 (Linux; Android 9; SM-A600FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36",web,0,,en,0,2019-12-10T13:28:29.308Z,2019-12-10T13:28:31.286Z
2142502,2895400,,,Edition,2895400,more,,"Mozilla/5.0 (Linux; Android 9; SM-A600FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36",web,0,,en,0,2019-12-10T13:28:30.091Z,2019-12-10T13:28:31.372Z
2142505,2895390,,,Edition,2895390,more,,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1",web,0,,en,0,2019-12-10T13:28:34.275Z,2019-12-10T13:28:36.285Z
2142505,2895390,,,Edition,2895390,read,,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1",web,0,,en,0,2019-12-10T13:28:40.885Z,2019-12-10T13:28:41.410Z
2142422,2895397,,,Edition,2895397,view,"{""position"":""3"",""screen_width"":""375.0"",""list_type"":""grid""}",Dart/2.5 (dart:io),web,0,,en,0,2019-12-10T13:28:40.714Z,2019-12-10T13:28:41.415Z
